Result0,Result1
0.82925445,-1.2388756
0.82165927,-1.1540991
0.92245686,-1.0869267
0.9040239,-1.1997167
0.94708234,-0.9875934
0.89049083,-1.1197554
0.8850896,-1.0338203
0.82925445,-1.2388756
0.8850896,-1.0338203
0.8887301,-1.0597637
0.94708234,-0.9875934
0.8736364,-1.0995911
0.92245686,-1.0869267
0.8739312,-1.2211848
0.8887301,-1.0597637
0.86551946,-1.2243588
0.8904938,-1.1197547
0.904024,-1.1997166
0.8619557,-1.1046463
0.8655122,-1.2243582
0.8736364,-1.0995911
0.8739312,-1.2211848
0.8619583,-1.1046503
